host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
1 day,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,10,65,1,0,2,4,5,0,0,flexible,0,0,1,0.85,100.0
< 1 hour ,100.0,1,1.0,1.0,3,1,4,3.0,2.0,2.0,17,75,1,25,1,14,9,1,0,flexible,0,0,1,1.48,93.0
< 1 hour ,100.0,0,1.0,1.0,8,1,4,1.0,0.0,1.0,19,220,1,0,1,30,49,1,0,moderate,0,0,1,8.7,100.0
< 1 hour ,88.0,0,2.0,2.0,3,1,2,1.0,1.0,1.0,13,99,1,75,1,1125,8,0,0,moderate,0,0,2,1.14,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,10,1,1,1.0,1.0,1.0,11,75,2,20,2,7,6,1,0,moderate,0,0,1,0.88,97.0
< 1 hour ,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,24,85,1,45,4,29,2,1,0,moderate,0,0,1,0.43,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,9,38,1,0,7,1125,2,0,0,flexible,0,0,1,0.28,100.0
< 1 hour ,100.0,1,7.0,7.0,8,1,1,1.0,1.0,1.0,18,40,1,20,1,1125,34,1,0,strict,0,0,7,4.77,96.0
< 1 hour ,75.0,0,1.0,1.0,5,1,2,1.0,1.0,2.0,10,165,1,0,2,1125,6,0,0,strict,0,0,1,0.98,100.0
< 1 hour ,93.48038995125609,1,3.0,3.0,3,1,2,2.0,1.0,1.0,9,91,1,25,1,1125,3,1,0,moderate,0,0,3,0.42,93.0
< 1 hour ,100.0,0,2.0,2.0,5,1,1,1.0,1.0,1.0,17,80,1,0,2,7,8,0,0,moderate,0,0,2,1.3,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,9,60,1,0,3,14,1,0,0,flexible,0,0,1,0.14,80.0
< 1 hour ,100.0,1,4.0,4.0,3,1,3,2.0,1.0,2.0,23,95,1,8,1,1125,21,1,0,strict,0,0,2,2.96,98.0
1 day,80.0,0,1.0,1.0,9,1,1,1.0,1.0,1.0,21,32,1,100,4,90,4,0,0,strict,0,0,1,0.65,100.0
< 1 hour ,100.0,1,4.0,4.0,3,1,2,2.0,1.0,1.0,33,76,1,7,1,1125,25,1,0,strict,0,0,2,3.52,98.0
< 1 hour ,100.0,1,1.0,1.0,4,1,2,1.0,1.0,1.0,12,59,1,20,1,30,19,1,0,strict,0,0,1,2.82,98.0
< 1 hour ,100.0,0,1.0,1.0,3,1,8,1.5,3.0,4.0,42,249,1,0,4,1125,23,1,0,strict,0,0,1,3.22,92.0
< 1 hour ,100.0,0,1.0,1.0,3,1,3,1.0,1.0,1.0,15,65,1,10,3,30,3,1,0,flexible,0,0,1,1.13,100.0
< 1 hour ,100.0,0,8.0,8.0,2,1,2,1.0,1.0,1.0,15,50,1,10,1,1125,11,1,0,strict,0,0,8,1.55,87.0
< 1 hour ,100.0,1,1.0,1.0,8,1,2,1.0,1.0,1.0,30,50,1,0,2,14,19,0,0,strict,0,0,1,2.81,98.0
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,20,60,1,30,3,1125,44,0,0,moderate,0,0,2,6.23,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,2.0,2.0,15,150,1,0,1,1125,4,0,0,moderate,0,0,1,0.56,90.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,36,89,1,45,1,28,5,0,0,strict,0,0,1,0.82,92.0
< 1 hour ,100.0,0,1.0,1.0,3,1,5,1.0,1.0,3.0,34,110,2,15,1,1125,11,1,0,flexible,0,0,1,1.95,87.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,0.0,1.0,14,130,1,0,4,1125,21,1,0,strict,0,0,1,3.2,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,0.0,1.0,4,135,1,0,2,1125,2,0,0,moderate,0,0,1,0.33,100.0
hours,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,23,98,1,0,2,1125,4,0,0,moderate,0,0,1,0.65,100.0
< 1 hour ,100.0,0,1.0,1.0,9,1,4,1.0,1.0,3.0,45,115,1,15,2,1125,14,0,0,moderate,0,0,1,2.39,93.0
< 1 hour ,100.0,0,2.0,2.0,9,1,2,1.0,0.0,1.0,15,100,1,0,7,1125,1,0,0,flexible,0,0,1,0.91,100.0
hours,100.0,0,3.0,3.0,3,1,7,2.0,2.0,4.0,29,125,5,20,4,1125,3,0,1,flexible,0,0,3,0.51,93.0
1 day,100.0,0,3.0,3.0,5,1,6,1.0,3.0,3.0,10,76,1,15,60,90,2,0,0,strict,0,0,3,0.32,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,10,110,2,70,1,9,5,1,0,flexible,0,0,1,0.73,100.0
days,25.0,0,1.0,1.0,3,1,1,1.0,1.0,1.0,12,45,1,0,28,30,2,1,0,strict,0,0,1,0.3,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,15,60,1,5,2,5,2,0,0,flexible,0,0,1,0.29,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.5,1.0,3.0,34,250,2,25,2,30,1,1,0,flexible,0,0,1,0.15,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,13,50,1,0,7,1125,1,1,0,flexible,0,0,1,0.16,80.0
< 1 hour ,100.0,0,1.0,1.0,8,1,2,1.0,1.0,1.0,12,46,1,0,4,10,2,1,0,strict,0,0,1,0.29,90.0
< 1 hour ,100.0,0,2.0,2.0,6,1,5,1.0,1.0,4.0,33,135,4,25,2,1125,23,1,0,strict,0,0,1,3.38,91.0
< 1 hour ,100.0,1,1.0,1.0,9,1,2,1.0,1.0,1.0,16,49,1,10,2,14,26,1,0,moderate,0,0,1,3.8,98.0
< 1 hour ,100.0,0,1.0,1.0,7,1,3,1.0,1.0,1.0,19,200,1,0,3,1125,4,0,0,moderate,0,0,1,0.57,100.0
days,33.0,0,1.0,1.0,5,1,1,1.0,1.0,1.0,16,65,1,20,3,31,9,0,0,moderate,0,0,1,1.41,96.0
< 1 hour ,100.0,0,1.0,1.0,6,1,3,1.0,1.0,1.0,8,155,2,40,3,7,4,1,0,flexible,0,0,1,0.55,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,9,1,2,1.0,1.0,1.0,7,68,1,0,1,10,1,0,0,flexible,0,0,1,0.15,80.0
< 1 hour ,93.48038995125609,1,1.0,1.0,3,1,1,1.0,1.0,1.0,16,80,1,20,2,20,8,0,0,strict,0,0,1,1.21,98.0
< 1 hour ,100.0,0,2.0,2.0,9,1,2,1.0,1.0,1.0,17,140,2,15,2,29,1,0,0,flexible,0,0,2,0.16,100.0
hours,95.0,0,1.0,1.0,8,1,6,2.0,4.0,4.0,25,450,1,0,2,1125,21,0,0,moderate,0,0,1,3.17,90.0
< 1 hour ,100.0,1,2.0,2.0,10,1,4,1.0,0.0,2.0,24,210,1,25,1,1125,2,0,0,strict,0,0,2,0.34,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,26,50,2,20,1,7,4,1,0,moderate,0,0,1,0.58,100.0
< 1 hour ,100.0,1,1.0,1.0,4,1,4,1.0,1.0,2.0,21,78,2,25,1,1125,20,1,0,flexible,0,0,1,3.26,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,2.0,2.0,14,165,2,40,3,1125,2,1,0,strict,0,0,1,0.33,100.0
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,34,70,1,25,1,90,17,0,0,strict,0,0,2,2.49,98.0
< 1 hour ,100.0,0,2.0,2.0,5,1,1,1.0,1.0,1.0,8,55,1,30,3,1125,18,1,0,strict,0,0,2,2.62,98.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,32,63,1,20,4,1125,1,1,0,moderate,0,0,1,1.0,100.0
< 1 hour ,100.0,1,6.0,6.0,3,1,3,1.0,1.0,2.0,27,43,1,20,2,28,27,1,0,strict,0,0,6,4.31,99.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,140,1,15,2,30,41,1,0,flexible,0,0,1,6.28,100.0
< 1 hour ,100.0,0,4.0,4.0,9,1,3,1.0,0.0,2.0,14,55,1,12,2,12,10,0,0,strict,0,0,3,1.5,90.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,23,90,1,0,3,1125,8,1,0,moderate,0,0,1,1.3,88.0
< 1 hour ,100.0,1,2.0,2.0,5,1,3,1.0,1.0,2.0,30,150,2,25,2,1125,16,1,1,moderate,0,0,2,2.65,96.0
hours,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,15,60,1,0,1,1125,8,1,0,moderate,0,0,2,1.12,90.0
hours,100.0,0,1.0,1.0,7,1,6,1.0,2.0,3.0,30,256,2,25,2,1125,30,0,0,strict,0,0,1,4.25,95.0
< 1 hour ,100.0,1,3.0,3.0,5,1,2,1.0,1.0,1.0,23,90,1,0,2,1125,11,0,0,flexible,0,0,3,1.72,98.0
< 1 hour ,100.0,0,4.0,4.0,7,1,3,1.0,1.0,2.0,15,55,2,10,1,1125,22,1,0,moderate,0,0,4,3.14,95.0
< 1 hour ,97.0,0,1.0,1.0,7,1,7,1.0,2.0,4.0,15,130,5,25,1,29,16,1,0,strict,0,0,1,2.42,96.0
hours,100.0,0,1.0,1.0,8,1,3,1.0,0.0,1.0,40,120,2,50,2,1125,6,0,0,moderate,0,0,1,0.98,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,10,1,3,1.0,1.0,1.0,30,120,2,25,7,1125,1,0,0,strict,1,1,2,0.15,60.0
< 1 hour ,100.0,1,3.0,3.0,5,1,2,1.0,1.0,1.0,20,80,1,0,2,1125,26,0,0,flexible,0,0,3,3.68,97.0
hours,100.0,0,1.0,1.0,8,1,4,1.0,1.0,3.0,29,154,4,15,4,30,4,0,0,strict,0,0,1,0.65,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,1.0,1.0,12,175,1,0,7,12,2,0,0,flexible,0,0,1,0.29,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,16,200,1,0,2,1125,5,0,0,strict,0,0,1,0.79,100.0
hours,80.0,0,1.0,1.0,2,1,4,1.0,0.0,2.0,10,99,2,25,4,1125,14,0,0,strict,0,0,1,1.94,90.0
< 1 hour ,100.0,0,1.0,1.0,3,1,4,1.0,1.0,2.0,29,80,1,0,2,1125,3,1,0,strict,0,0,1,0.46,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,13,60,1,0,7,1125,3,0,0,flexible,0,0,1,0.44,73.0
< 1 hour ,100.0,1,1.0,1.0,8,1,2,1.0,1.0,1.0,14,125,1,0,1,1125,42,1,0,strict,0,0,1,6.3,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,9,1,1,1.0,4.0,1.0,13,40,1,10,1,30,4,0,0,flexible,0,0,1,0.66,95.0
< 1 hour ,100.0,1,4.0,4.0,8,1,2,1.0,1.0,2.0,28,45,2,25,3,30,13,0,0,strict,0,0,4,2.12,97.0
1 day,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,41,160,1,0,2,5,7,0,0,flexible,0,0,1,1.04,100.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,26,50,1,0,2,14,10,1,0,flexible,0,0,1,1.46,94.0
< 1 hour ,100.0,1,1.0,1.0,8,1,3,1.0,1.0,1.0,31,115,2,0,1,1125,33,0,1,strict,0,0,1,4.65,98.0
< 1 hour ,87.0,0,5.0,5.0,4,1,4,1.0,2.0,2.0,13,130,1,25,1,1125,10,0,0,strict,0,0,4,1.95,94.0
< 1 hour ,100.0,0,1.0,1.0,5,1,6,1.0,2.0,3.0,41,325,4,25,3,1125,17,0,0,strict,0,0,1,2.41,89.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,0.0,1.0,25,130,1,0,3,19,8,1,0,strict,0,0,1,1.25,94.0
1 day,70.0,0,2.0,2.0,3,1,1,1.0,0.0,1.0,15,59,1,0,1,1125,1,0,0,flexible,0,0,2,0.37,40.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,3,1.0,1.0,2.0,12,154,1,0,3,15,2,1,0,moderate,0,0,1,0.3,100.0
< 1 hour ,100.0,1,1.0,1.0,8,1,2,1.0,1.0,1.0,9,43,1,0,1,1125,62,1,0,flexible,0,0,1,8.99,98.0
< 1 hour ,100.0,0,1.0,1.0,12,1,2,1.0,1.0,1.0,29,50,2,50,2,30,1,0,0,moderate,0,0,1,0.37,100.0
1 day,50.0,0,1.0,1.0,3,1,1,2.0,1.0,1.0,17,60,1,30,3,1125,2,0,0,flexible,0,0,1,0.29,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,10,36,1,15,1,1125,1,1,0,strict,0,0,1,0.16,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,2.0,2.0,12,180,1,0,1,1125,3,1,0,flexible,0,0,1,0.48,93.0
hours,78.0,0,1.0,1.0,4,1,10,1.0,2.0,4.0,16,295,6,20,1,1125,5,0,0,moderate,0,0,1,0.74,76.0
< 1 hour ,100.0,1,3.0,3.0,5,1,5,1.0,2.0,3.0,27,150,5,30,2,1125,2,0,0,strict,0,0,3,0.28,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,4,1.0,1.0,1.0,24,169,1,0,1,4,11,1,0,flexible,0,0,1,1.62,92.0
< 1 hour ,100.0,0,3.0,3.0,3,1,6,1.0,2.0,2.0,47,83,4,25,3,28,13,1,0,moderate,0,0,3,1.85,90.0
hours,90.0,0,1.0,1.0,2,1,8,1.0,2.0,4.0,12,332,1,0,2,1125,13,1,0,strict,0,0,1,1.86,78.0
< 1 hour ,100.0,0,4.0,4.0,3,1,3,1.0,1.0,2.0,11,40,1,10,1,1125,28,1,0,moderate,0,0,4,3.98,91.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,2,1.0,1.0,1.0,15,60,1,0,2,3,5,1,0,flexible,0,0,1,0.71,88.0
1 day,100.0,0,1.0,1.0,9,1,2,1.0,1.0,1.0,17,75,1,0,2,7,2,0,0,flexible,0,0,1,0.44,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,3,1.0,1.0,1.0,15,90,1,0,3,14,2,1,0,flexible,0,0,1,0.3,90.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,9,89,1,0,2,14,6,0,0,flexible,0,0,1,0.88,95.0
1 day,100.0,0,1.0,1.0,7,1,2,1.0,1.0,1.0,10,58,1,7,10,100,2,1,0,strict,0,0,1,0.56,20.0
hours,75.0,0,2.0,2.0,4,1,2,1.0,0.0,1.0,17,125,1,0,1,1125,20,1,0,strict,0,0,2,3.35,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,4,1.0,1.0,1.0,15,150,1,0,2,1125,3,1,0,flexible,0,0,1,0.46,90.0
< 1 hour ,100.0,0,5.0,5.0,6,1,2,1.0,1.0,1.0,9,68,1,25,13,360,4,1,0,moderate,0,0,5,0.61,90.0
< 1 hour ,100.0,1,2.0,2.0,5,1,5,1.0,2.0,2.0,19,185,4,25,2,1125,19,1,1,flexible,0,0,2,2.78,100.0
1 day,100.0,0,1.0,1.0,4,1,4,1.0,1.0,2.0,28,200,1,0,3,7,2,1,0,strict,0,0,1,0.38,100.0
1 day,50.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,11,120,1,0,1,1125,9,0,0,moderate,0,0,2,1.32,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,1,1.0,1.0,1.0,21,85,1,20,3,4,8,1,0,flexible,0,0,1,1.48,83.0
< 1 hour ,100.0,0,1.0,1.0,3,1,4,1.0,3.0,3.0,17,144,1,0,4,100,5,1,0,moderate,0,0,1,0.75,100.0
1 day,87.0,1,3.0,3.0,5,1,1,1.0,0.0,1.0,30,100,1,60,5,1125,2,0,0,strict,0,0,1,0.36,80.0
< 1 hour ,93.48038995125609,0,2.0,2.0,3,1,2,1.0,1.0,1.0,16,75,1,0,2,4,2,0,0,strict,0,0,2,0.32,100.0
< 1 hour ,100.0,0,3.0,3.0,4,1,2,1.0,1.0,1.0,23,39,1,25,1,1125,24,0,0,strict,0,0,3,3.36,92.0
< 1 hour ,100.0,0,1.0,1.0,3,1,1,1.0,1.0,3.0,47,105,1,45,5,15,9,0,0,strict,0,0,1,1.56,100.0
hours,90.0,1,1.0,1.0,8,1,8,1.5,4.0,5.0,29,300,8,75,3,1125,11,1,0,strict,0,0,1,1.8,96.0
< 1 hour ,100.0,0,1.0,1.0,9,1,4,1.0,2.0,3.0,17,161,4,100,2,5,4,1,0,strict,0,0,1,0.73,100.0
< 1 hour ,93.48038995125609,0,0.0,0.0,4,1,3,1.0,1.0,1.0,20,155,1,0,3,1125,2,0,0,flexible,0,0,1,0.29,80.0
hours,100.0,0,1.0,1.0,4,1,4,1.0,2.0,2.0,29,200,1,0,3,1125,5,1,0,strict,0,0,1,0.71,90.0
hours,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,9,80,1,20,2,12,1,0,0,flexible,0,0,1,0.48,60.0
< 1 hour ,100.0,0,5.0,5.0,6,1,7,1.0,2.0,4.0,14,150,1,25,7,360,1,0,0,moderate,0,0,5,0.42,100.0
hours,100.0,0,1.0,1.0,4,1,3,1.0,1.0,1.0,46,90,3,25,2,30,7,0,0,moderate,0,0,1,3.04,100.0
hours,100.0,0,3.0,3.0,9,1,4,1.0,2.0,2.0,33,90,4,30,2,28,3,0,0,strict,0,0,3,0.92,87.0
< 1 hour ,100.0,1,6.0,6.0,6,1,3,1.0,1.0,2.0,15,98,2,25,1,14,37,1,0,strict,0,0,6,5.31,97.0
< 1 hour ,100.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,20,139,1,0,14,60,3,0,0,moderate,0,0,1,0.5,100.0
< 1 hour ,100.0,0,5.0,5.0,6,1,6,1.0,3.0,4.0,15,122,1,25,7,360,6,0,0,moderate,0,0,5,0.9,93.0
< 1 hour ,100.0,0,7.0,7.0,4,1,1,1.0,1.0,1.0,2,20,1,0,1,1125,3,1,0,flexible,0,0,7,0.49,93.0
< 1 hour ,100.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,9,50,1,0,2,30,18,1,0,moderate,0,0,1,2.6,98.0
< 1 hour ,100.0,0,2.0,2.0,3,1,3,1.0,0.0,2.0,22,114,2,20,1,1125,48,1,1,strict,0,0,2,6.92,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,3,1.0,1.0,1.0,18,90,1,0,1,8,1,0,0,flexible,0,0,1,0.14,80.0
< 1 hour ,100.0,1,2.0,2.0,5,1,5,2.0,3.0,3.0,18,450,1,0,2,7,4,0,0,strict,0,0,1,0.66,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,5,2.0,3.0,5.0,17,235,3,15,2,1125,1,1,0,flexible,0,0,1,0.17,100.0
< 1 hour ,100.0,0,1.0,1.0,4,1,4,1.0,1.0,2.0,19,199,2,5,2,1125,5,1,0,flexible,0,0,1,1.09,100.0
< 1 hour ,100.0,0,2.0,2.0,8,1,5,1.0,1.0,1.0,34,55,2,25,2,356,9,0,0,strict,0,0,2,3.6,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,3,1,1,1.0,1.0,1.0,12,25,1,0,7,1125,1,0,0,flexible,0,0,2,0.16,100.0
< 1 hour ,100.0,0,3.0,3.0,4,1,2,1.0,1.0,1.0,7,39,1,25,1,1125,37,1,0,strict,0,0,3,5.19,91.0
< 1 hour ,100.0,0,3.0,3.0,4,1,2,1.0,3.0,1.0,9,65,1,15,3,1125,12,0,0,flexible,0,0,3,1.83,95.0
< 1 hour ,100.0,0,2.0,2.0,4,1,1,1.0,1.0,1.0,14,60,1,20,1,27,25,1,0,strict,0,0,2,3.55,95.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,22,40,2,50,2,1125,5,1,0,strict,0,0,1,0.76,100.0
< 1 hour ,100.0,1,2.0,2.0,5,1,3,1.0,1.0,2.0,30,79,1,0,2,13,18,1,0,moderate,0,0,2,2.67,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,13,60,1,15,3,8,4,0,0,strict,0,0,1,0.67,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,0,4,2.0,2.0,3.0,17,200,2,0,7,30,3,0,0,strict,0,0,1,0.57,80.0
< 1 hour ,100.0,1,2.0,2.0,5,1,2,1.0,1.0,1.0,26,150,1,20,1,7,51,0,0,flexible,0,0,2,7.32,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,1.0,1.0,1.0,12,50,1,0,4,7,1,1,0,flexible,0,0,1,0.15,100.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,2.0,1.0,1.0,31,71,1,5,1,1125,26,1,0,strict,0,0,2,3.68,91.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,2.0,1.0,1.0,23,68,1,7,1,1125,36,1,0,strict,0,0,2,5.09,93.0
< 1 hour ,90.0,0,1.0,1.0,7,1,2,1.0,1.0,1.0,21,150,2,25,4,1125,9,1,1,strict,0,0,1,1.38,96.0
< 1 hour ,100.0,0,1.0,1.0,3,1,7,1.0,2.0,1.0,32,313,4,38,1,300,21,1,0,strict,0,0,1,3.04,90.0
1 day,90.0,0,1.0,1.0,3,1,14,1.5,4.0,5.0,24,199,6,20,1,1125,10,0,0,strict,0,0,1,1.47,93.0
< 1 hour ,100.0,0,1.0,1.0,9,1,2,1.0,0.0,2.0,15,90,2,20,1,4,33,1,0,flexible,0,0,1,4.88,93.0
< 1 hour ,100.0,1,1.0,1.0,9,1,6,1.0,2.0,3.0,27,196,4,25,2,1125,18,1,0,flexible,0,0,1,2.86,99.0
< 1 hour ,100.0,0,1.0,1.0,6,1,7,1.0,2.0,4.0,30,332,4,38,1,1125,25,1,0,strict,0,0,1,3.57,95.0
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,20,70,1,10,3,1125,28,0,0,moderate,0,0,2,4.06,95.0
hours,96.0,0,3.0,3.0,8,1,10,1.0,3.0,4.0,47,400,8,50,1,1125,12,1,0,strict,0,0,3,1.68,87.0
1 day,100.0,0,1.0,1.0,4,1,4,2.0,2.0,1.0,16,800,1,0,3,24,2,0,0,strict,0,0,1,0.3,100.0
1 day,100.0,0,1.0,1.0,7,1,2,1.0,1.0,1.0,17,200,1,0,2,1125,9,0,0,moderate,0,0,1,1.48,100.0
< 1 hour ,100.0,0,1.0,1.0,9,1,4,1.0,1.0,2.0,16,175,2,10,2,1125,5,1,0,moderate,0,0,1,0.89,100.0
< 1 hour ,100.0,1,6.0,6.0,6,1,2,1.0,1.0,1.0,13,78,2,25,1,14,23,1,0,moderate,0,0,6,3.35,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,2.0,5,95,1,0,2,7,1,1,0,flexible,0,0,1,0.15,100.0
< 1 hour ,93.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,25,60,1,0,2,10,13,0,0,moderate,0,0,1,1.85,89.0
< 1 hour ,93.48038995125609,0,2.0,2.0,6,1,2,1.0,1.0,1.0,13,69,1,23,3,1125,3,0,0,flexible,0,0,1,0.46,100.0
< 1 hour ,100.0,0,4.0,4.0,5,1,3,1.0,1.0,1.0,21,65,2,20,2,29,10,1,0,flexible,0,0,4,1.52,98.0
< 1 hour ,98.0,0,5.0,5.0,3,1,3,1.0,1.0,2.0,23,69,1,20,1,1125,16,1,0,flexible,0,0,3,2.84,76.0
< 1 hour ,100.0,0,3.0,3.0,5,1,1,1.0,0.0,1.0,8,55,1,0,1,1125,2,0,0,flexible,0,0,3,0.32,100.0
< 1 hour ,100.0,0,1.0,1.0,4,1,6,1.0,1.0,4.0,40,120,2,25,2,1125,6,1,1,strict,0,0,1,1.82,100.0
hours,100.0,0,3.0,3.0,3,1,2,1.0,1.0,1.0,25,32,1,0,2,28,15,0,0,strict,0,0,3,2.49,89.0
< 1 hour ,88.0,0,1.0,1.0,8,1,4,1.0,0.0,3.0,17,99,1,0,1,1125,29,1,0,strict,0,0,1,4.1,91.0
< 1 hour ,100.0,0,1.0,1.0,9,1,5,1.0,2.0,3.0,17,375,5,50,2,1125,21,1,1,strict,0,0,1,3.0,93.0
< 1 hour ,100.0,1,1.0,1.0,2,1,1,2.5,1.0,1.0,22,45,1,0,2,14,19,1,0,flexible,0,0,1,3.02,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,0.0,1.0,27,125,3,15,2,1125,4,0,0,strict,0,0,1,0.71,100.0
< 1 hour ,91.0,0,332.0,332.0,7,1,2,1.0,0.0,1.0,16,438,2,0,3,182,1,1,0,+strict,0,0,6,0.32,40.0
hours,86.0,0,1.0,1.0,7,1,2,1.0,1.0,1.0,14,89,1,0,2,6,6,0,0,strict,0,0,1,0.94,95.0
< 1 hour ,93.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,7,50,1,0,1,5,6,0,0,flexible,0,0,2,0.85,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,10,75,1,0,2,1125,1,1,0,flexible,0,0,1,0.15,80.0
< 1 hour ,100.0,0,1.0,1.0,4,1,3,1.0,1.0,1.0,12,60,1,20,1,1125,4,1,0,moderate,0,0,1,1.2,100.0
< 1 hour ,75.0,0,1.0,1.0,8,1,2,1.0,1.0,2.0,23,120,2,25,2,28,11,0,0,moderate,0,0,1,2.89,96.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,2,2.0,1.0,1.0,21,70,1,0,4,15,1,0,0,strict,1,1,2,0.15,60.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,1,2.0,1.0,1.0,13,75,1,0,3,1125,5,0,0,flexible,0,0,1,0.82,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,2,1.0,1.0,2.0,11,172,1,6,4,17,1,0,0,strict,0,0,1,0.17,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,1,1.0,1.0,1.0,11,85,1,0,25,60,6,0,0,moderate,0,0,1,0.92,97.0
< 1 hour ,100.0,1,7.0,7.0,8,1,2,2.0,1.0,1.0,17,60,1,15,1,1125,23,1,0,strict,0,0,7,3.37,99.0
hours,100.0,1,1.0,1.0,3,1,4,1.0,2.0,3.0,32,100,4,25,3,29,12,0,0,flexible,0,0,1,1.78,98.0
< 1 hour ,100.0,0,1.0,1.0,3,1,5,1.0,1.0,2.0,28,58,1,20,2,1125,13,0,0,flexible,0,0,1,2.01,92.0
< 1 hour ,100.0,0,3.0,3.0,3,1,4,1.0,1.0,2.0,35,80,4,35,1,365,28,1,0,strict,0,0,3,3.96,97.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,12,150,1,10,2,1125,1,0,0,strict,0,0,1,0.49,80.0
