host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,6,1.0,1.0,3.0,15,140,4,20,7,60,9,1,0,moderate,0,0,1,0.1,93.0
days,36.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,17,95,2,0,3,90,54,0,0,flexible,0,0,1,0.55,92.0
< 1 hour ,100.0,0,1.0,1.0,4,1,1,0.0,1.0,1.0,7,60,1,20,4,14,156,0,0,moderate,0,0,1,1.63,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,16,50,1,0,1,730,2,0,0,moderate,0,0,1,0.08,60.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,22,70,1,27,3,29,33,0,0,strict,0,0,1,0.34,96.0
< 1 hour ,100.0,0,4.0,4.0,4,1,2,1.0,1.0,1.0,16,84,2,0,3,60,150,1,0,strict,1,1,4,1.55,94.0
1 day,70.0,0,3.0,3.0,5,1,1,1.133758653454595,1.0,1.0,12,60,1,15,5,100,19,0,0,strict,0,0,3,0.27,89.0
< 1 hour ,100.0,1,1.0,1.0,4,1,4,1.0,1.0,2.0,20,131,1,0,3,29,107,1,0,moderate,0,0,1,3.31,98.0
days,0.0,1,3.0,3.0,5,1,4,2.5,2.0,2.0,17,250,4,50,14,90,15,0,0,strict,0,0,1,0.29,100.0
< 1 hour ,100.0,0,2.0,2.0,4,1,4,1.0,1.0,2.0,15,105,2,20,3,100,83,1,0,strict,0,0,2,0.86,91.0
1 day,80.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,140,2,28,4,365,60,0,0,moderate,1,1,1,0.62,95.0
hours,100.0,1,2.0,2.0,5,1,2,1.0,1.0,1.0,30,111,1,50,30,1200,24,0,0,strict,0,0,2,0.25,99.0
1 day,100.0,0,1.0,1.0,3,1,3,1.0,1.0,2.0,14,185,2,45,7,21,16,0,0,strict,0,0,1,0.18,97.0
hours,100.0,0,3.0,3.0,10,1,4,1.0,2.0,2.0,19,175,1,15,3,730,194,0,0,strict,0,0,3,2.04,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.133758653454595,1.0,1.0,10,65,1,30,2,20,68,0,0,strict,1,1,1,0.71,94.0
< 1 hour ,100.0,0,1.0,1.0,5,1,7,2.0,2.0,5.0,47,240,6,50,4,365,188,0,1,strict,0,1,1,1.95,94.0
< 1 hour ,100.0,0,2.0,2.0,8,1,5,2.0,3.0,3.0,38,400,4,100,2,60,30,0,0,strict,0,0,2,0.44,87.0
< 1 hour ,100.0,1,5.0,5.0,4,1,2,2.0,1.0,1.0,44,101,1,19,3,20,289,1,0,strict,0,0,1,3.06,95.0
< 1 hour ,100.0,0,5.0,5.0,4,1,3,1.0,2.0,2.0,30,150,3,60,2,30,24,0,0,strict,0,0,5,0.25,95.0
< 1 hour ,100.0,0,5.0,5.0,4,1,3,1.0,1.0,2.0,24,100,3,50,2,30,38,0,0,strict,0,0,5,0.42,97.0
< 1 hour ,100.0,0,5.0,5.0,4,1,6,2.0,3.0,4.0,31,200,6,37,2,35,47,0,0,strict,0,0,5,0.49,94.0
